ids,target,prediction
11676,-45.25158,-45.32914
8035,-52.02064,-52.023293
9142,-50.5344,-50.46189
5521,-50.51678,-50.528137
12846,-47.18843,-47.206017
718,-55.9306,-55.847187
17756,-41.50778,-41.59652
17252,-41.44732,-41.446095
17005,-39.05231,-39.047737
655,-55.62454,-55.577045
8632,-48.76872,-48.918964
7987,-49.60223,-49.627575
4523,-52.07777,-51.96585
10233,-38.90206,-38.73388
3675,-56.24556,-56.186073
3173,-54.44416,-54.449215
14413,-46.44931,-46.493317
16803,-40.82586,-40.757095
1887,-51.7082,-51.797558
836,-56.82628,-56.760784
17591,-41.18313,-41.223217
14046,-45.40304,-45.38941
17603,-40.09172,-40.067394
14644,-45.47941,-45.560352
17978,-40.17673,-40.099014
7975,-50.61021,-50.485497
6318,-52.02777,-52.04761
3211,-56.88277,-56.87787
8562,-50.46585,-50.527493
14049,-46.21687,-46.22554
9489,-51.4529,-51.48366
4336,-56.81234,-56.616497
10170,-45.36204,-45.34371
6181,-51.02348,-51.01294
7186,-50.91019,-50.911484
1868,-54.10107,-54.02769
4919,-50.81009,-50.767838
10037,-45.24963,-45.242363
3453,-55.57391,-55.562992
11649,-43.08906,-43.130737
6992,-50.63853,-50.62922
17908,-40.18835,-40.19743
3971,-57.09598,-57.050137
4425,-54.53631,-54.576565
2601,-54.97871,-54.83661
9174,-49.31526,-49.389153
4223,-55.16773,-55.125504
19761,-39.30189,-39.286
10358,-45.92373,-45.974438
2343,-54.823,-54.854137
11131,-45.22102,-45.215416
19753,-39.9442,-39.89316
3835,-55.67102,-55.698532
17168,-40.83329,-40.935707
11255,-46.60522,-46.5519
837,-55.39509,-55.250748
13411,-43.13551,-43.242878
5882,-51.25631,-51.193745
6776,-50.23191,-50.247044
17336,-40.98075,-40.99582
2515,-56.25762,-56.224052
15292,-40.86587,-40.816998
17556,-40.29242,-40.379665
6272,-51.42591,-51.412758
14535,-47.22131,-47.240887
17402,-41.07811,-41.11186
8637,-50.64093,-50.6391
3700,-56.44873,-56.232857
6876,-50.59177,-50.557278
17996,-39.11457,-39.117535
17022,-41.51342,-41.55846
